"FABLE_Exporter","FABLE_Importer","Year","FABLE_Item","adv_ij_agg","sdt_ij_agg","Regional_lv"
"NOR","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"NPL","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_ASP"
"RUS","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_NEU"
"RWA","BRA",2000,"Coffee",0.137857142857143,81.7217142857143,"R_SSA"
"SWE","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"TUR","BRA",2000,"Coffee",0.137857142857143,163.055026184099,"R_NEU"
"USA","BRA",2000,"Coffee",0.137857142857143,805.361428571429,"R_WRL"
"R_NMC","CAN",2000,"Coffee",0.154549052620008,632.496039344397,"R_NMC"
"R_SSA","CAN",2000,"Coffee",0.152288429050812,235.384369663322,"R_SSA"
"R_NEU","CAN",2000,"Coffee",0.154879814919143,328.658840843006,"R_NEU"
"ARG","CAN",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"AUS","CAN",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"R_OEU","CAN",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"R_ASP","CAN",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"R_CSA","CAN",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"BRA","CAN",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"CHN","CAN",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"COL","CAN",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"DEU","CAN",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"DNK","CAN",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"ETH","CAN",2000,"Coffee",0.152288429050812,235.384369663322,"R_SSA"
"FIN","CAN",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"GBR","CAN",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"GRC","CAN",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"IDN","CAN",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"IND","CAN",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"IRL","CAN",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"MEX","CAN",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"NOR","CAN",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"NPL","CAN",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"RUS","CAN",2000,"Coffee",0.154879814919143,328.658840843006,"R_NEU"
"RWA","CAN",2000,"Coffee",0.152288429050812,235.384369663322,"R_SSA"
"SWE","CAN",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"TUR","CAN",2000,"Coffee",0.154879814919143,328.658840843006,"R_NEU"
"USA","CAN",2000,"Coffee",0.154036460381677,868.861882636017,"R_WRL"
"R_NMC","CHN",2000,"Coffee",0.328571428571429,540.532857142857,"R_NMC"
"R_SSA","CHN",2000,"Coffee",0.328571428571429,251.681396927803,"R_SSA"
"R_NEU","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_NEU"
"ARG","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_CSA"
"AUS","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_ASP"
"R_OEU","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_OEU"
"R_ASP","CHN",2000,"Coffee",0.328571428571429,283.866,"R_ASP"
"R_CSA","CHN",2000,"Coffee",0.328571428571429,437.199837670461,"R_CSA"
"BRA","CHN",2000,"Coffee",0.328571428571429,222.344285714286,"R_CSA"
"CAN","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_WRL"
"COL","CHN",2000,"Coffee",0.328571428571429,442.914285714286,"R_CSA"
"DEU","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_OEU"
"DNK","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_OEU"
"ETH","CHN",2000,"Coffee",0.328571428571429,289.898571428571,"R_SSA"
"FIN","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_OEU"
"GBR","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_OEU"
"GRC","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_OEU"
"IDN","CHN",2000,"Coffee",0.328571428571429,301.464285714286,"R_ASP"
"IND","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_ASP"
"IRL","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_OEU"
"MEX","CHN",2000,"Coffee",0.328571428571429,100.214285714286,"R_CSA"
"NOR","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_OEU"
"NPL","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_ASP"
"RUS","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_NEU"
"RWA","CHN",2000,"Coffee",0.328571428571429,194.777142857143,"R_SSA"
"SWE","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_OEU"
"TUR","CHN",2000,"Coffee",0.328571428571429,388.628559817024,"R_NEU"
"USA","CHN",2000,"Coffee",0.328571428571429,1919.51428571429,"R_WRL"
"R_NMC","COL",2000,"Coffee",0.175,287.8925,"R_NMC"
"R_SSA","COL",2000,"Coffee",0.175,134.047700537634,"R_SSA"
"R_NEU","COL",2000,"Coffee",0.175,206.986950337328,"R_NEU"
"ARG","COL",2000,"Coffee",0.175,206.986950337328,"R_CSA"
"AUS","COL",2000,"Coffee",0.175,206.986950337328,"R_ASP"
"R_OEU","COL",2000,"Coffee",0.175,206.986950337328,"R_OEU"
"R_ASP","COL",2000,"Coffee",0.175,151.1895,"R_ASP"
"R_CSA","COL",2000,"Coffee",0.143181818181818,209.732911011384,"R_CSA"
"BRA","COL",2000,"Coffee",0.175,118.4225,"R_CSA"
"CAN","COL",2000,"Coffee",0.175,206.986950337328,"R_WRL"
"CHN","COL",2000,"Coffee",0.175,206.986950337328,"R_ASP"
"DEU","COL",2000,"Coffee",0.175,206.986950337328,"R_OEU"
"DNK","COL",2000,"Coffee",0.175,206.986950337328,"R_OEU"
"ETH","COL",2000,"Coffee",0.175,154.4025,"R_SSA"
"FIN","COL",2000,"Coffee",0.175,206.986950337328,"R_OEU"
"GBR","COL",2000,"Coffee",0.175,206.986950337328,"R_OEU"
"GRC","COL",2000,"Coffee",0.175,206.986950337328,"R_OEU"
"IDN","COL",2000,"Coffee",0.175,160.5625,"R_ASP"
"IND","COL",2000,"Coffee",0.175,206.986950337328,"R_ASP"
"IRL","COL",2000,"Coffee",0.175,206.986950337328,"R_OEU"
"MEX","COL",2000,"Coffee",0.175,53.375,"R_CSA"
"NOR","COL",2000,"Coffee",0.175,206.986950337328,"R_OEU"
"NPL","COL",2000,"Coffee",0.175,206.986950337328,"R_ASP"
"RUS","COL",2000,"Coffee",0.175,206.986950337328,"R_NEU"
"RWA","COL",2000,"Coffee",0.175,103.74,"R_SSA"
"SWE","COL",2000,"Coffee",0.175,206.986950337328,"R_OEU"
"TUR","COL",2000,"Coffee",0.175,206.986950337328,"R_NEU"
"USA","COL",2000,"Coffee",0.175,1022.35,"R_WRL"
"R_NMC","DEU",2000,"Coffee",0.0547775684127551,91.1391194512229,"R_NMC"
"R_SSA","DEU",2000,"Coffee",0.0301388878932773,19.5820017747447,"R_SSA"
"R_NEU","DEU",2000,"Coffee",0.047218757677551,55.8495237165348,"R_NEU"
"ARG","DEU",2000,"Coffee",0.0652997302,77.235382925419,"R_CSA"
"AUS","DEU",2000,"Coffee",0.0853971582,101.006270533099,"R_ASP"
"R_OEU","DEU",2000,"Coffee",0.00773579453533835,43.4613740954446,"R_OEU"
"R_ASP","DEU",2000,"Coffee",0.0530929454738095,41.6355361214092,"R_ASP"
"R_CSA","DEU",2000,"Coffee",0.0332761505071429,44.028076358205,"R_CSA"
"BRA","DEU",2000,"Coffee",0.0924876497142857,62.5863925616571,"R_CSA"
"CAN","DEU",2000,"Coffee",0.0853971582,101.006270533099,"R_WRL"
"CHN","DEU",2000,"Coffee",0.0547853039,64.7991027289413,"R_ASP"
"COL","DEU",2000,"Coffee",0.0204108963714286,27.5138883086857,"R_CSA"
"DNK","DEU",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"ETH","DEU",2000,"Coffee",0.0120435634,10.62603598782,"R_SSA"
"FIN","DEU",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"GBR","DEU",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"GRC","DEU",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"IDN","DEU",2000,"Coffee",0.0544636226857143,49.9703738141429,"R_ASP"
"IND","DEU",2000,"Coffee",0.0528587948714286,62.5204614225337,"R_ASP"
