FABLE_Exporter,FABLE_Importer,dist_adj,Year,FABLE_Item,Q_ij,net_trade_ij,is_court,base_cost,beta,ln_dist,ln_quantity_kt,cost_per_tonne_km,transport_cost_usd_t,Regional_lv_i,Regional_lv_j
RUS,R_CSA,11583.981304347826,2020,Rice,0,0,FALSE,0.003,0.26,9.357378500703945,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,R_CSA,11583.981304347826,2020,Palm Oil,0,0,FALSE,0.003,0.26,9.357378500703945,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,BRA,11942.46,2020,Cocoa,0,-0.053534,FALSE,0.003,0.26,9.38785539587605,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,BRA,11942.46,2020,Coffee,0,-45.2382576,FALSE,0.003,0.26,9.38785539587605,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,BRA,11942.46,2020,Soyabean,0,-1071.571513,FALSE,0.003,0.26,9.38785539587605,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,BRA,11942.46,2020,Wheat,236.76182,236.76182,FALSE,0.003,0.26,9.38785539587605,5.467054656902287,0.032615386156671596,389.50794456060424,R_NEU,R_CSA
RUS,BRA,11942.46,2020,Corn,0,0,FALSE,0.003,0.26,9.38785539587605,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,BRA,11942.46,2020,Palm_oil,0,0,FALSE,0.003,0.26,9.38785539587605,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,BRA,11942.46,2020,Rice,0,0,FALSE,0.003,0.26,9.38785539587605,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,BRA,11942.46,2020,Palm Oil,0,0,FALSE,0.003,0.26,9.38785539587605,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,CAN,7819.133,2020,Cocoa,0.3303836,0.3303836,FALSE,0.003,0.26,8.964328957827655,-1.107500875371135,0.031199835627650125,243.9556643507348,R_NEU,R_WRL
RUS,CAN,7819.133,2020,Rice,0.0413668,0.0413668,FALSE,0.003,0.26,8.964328957827655,-3.1852766522377887,0.03185487986410249,249.07754235643927,R_NEU,R_WRL
RUS,CAN,7819.133,2020,Soyabean,0,-0.578301,FALSE,0.003,0.26,8.964328957827655,-Inf,Inf,271.7599589906107,R_NEU,R_WRL
RUS,CAN,7819.133,2020,Wheat,0.049315,0.049315,FALSE,0.003,0.26,8.964328957827655,-3.0095269845761803,0.03179894418638899,248.6401738529523,R_NEU,R_WRL
RUS,CAN,7819.133,2020,Corn,0,0,FALSE,0.003,0.26,8.964328957827655,-Inf,Inf,271.7599589906107,R_NEU,R_WRL
RUS,CAN,7819.133,2020,Coffee,0,0,FALSE,0.003,0.26,8.964328957827655,-Inf,Inf,271.7599589906107,R_NEU,R_WRL
RUS,CAN,7819.133,2020,Palm_oil,0,0,FALSE,0.003,0.26,8.964328957827655,-Inf,Inf,271.7599589906107,R_NEU,R_WRL
RUS,CAN,7819.133,2020,Palm Oil,0,0,FALSE,0.003,0.26,8.964328957827655,-Inf,Inf,271.7599589906107,R_NEU,R_WRL
RUS,CHN,5506.709,2020,Cocoa,130.9718508,129.6882115,FALSE,0.003,0.26,8.61372244602864,4.874982420721955,0.026827575643172213,147.7316522424372,R_NEU,R_ASP
RUS,CHN,5506.709,2020,Coffee,0.4641514,0.22973095,FALSE,0.003,0.26,8.61372244602864,-0.7675444868744512,0.028384850493238266,156.3071116747696,R_NEU,R_ASP
RUS,CHN,5506.709,2020,Corn,202.437062,202.1066982,FALSE,0.003,0.26,8.61372244602864,5.310429033298457,0.026711009848886202,147.08975833395027,R_NEU,R_ASP
RUS,CHN,5506.709,2020,Rice,0.1615985,-9.2897119,FALSE,0.003,0.26,8.61372244602864,-1.8226404151164395,0.02868592340603532,157.96503259332533,R_NEU,R_ASP
RUS,CHN,5506.709,2020,Soyabean,814.015665,806.4531009,FALSE,0.003,0.26,8.61372244602864,6.701979610289112,0.02634188686018892,145.05710544998405,R_NEU,R_ASP
