"FABLE_Exporter","FABLE_Item","Year","prodprice_i_agg"
"GBR","Wheat",2005,132.7
"USA","Coffee",2005,10031
"USA","Corn",2005,79
"USA","Rice",2005,169
"USA","Soyabean",2005,208
"USA","Wheat",2005,126
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_CSA","Soyabean",2005,199.2
"R_CSA","Wheat",2005,174.15
"R_ASP","Cocoa",2005,1327.3
"R_ASP","Coffee",2005,714.8
"R_ASP","Corn",2005,204.8
"R_CSA","Cocoa",2005,1137.8
"R_CSA","Coffee",2005,1583.7
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_CSA","Soyabean",2005,199.2
"R_ASP","Coffee",2005,714.8
"R_ASP","Corn",2005,204.8
"R_ASP","Rice",2005,189.3
"R_NMC","Coffee",2005,3865.9
"R_NMC","Corn",2005,179.3
"R_NMC","Wheat",2005,208.2
"R_SSA","Corn",2005,196.85
"R_SSA","Soyabean",2005,365.9
"R_NEU","Corn",2010,225.2
"R_NEU","Soyabean",2010,464.6
"R_NEU","Wheat",2010,202.5
"R_NMC","Wheat",2010,311
"R_SSA","Coffee",2010,846
"R_SSA","Corn",2010,274.8
"R_SSA","Rice",2010,368.95
"R_SSA","Soyabean",2010,385.2
"ARG","Corn",2010,135.1
"ARG","Rice",2010,207.484474576271
"ARG","Soyabean",2010,262.7
"ARG","Wheat",2010,160.6
"R_NMC","Wheat",2010,311
"AUS","Rice",2010,419.2
"AUS","Wheat",2010,200
"R_OEU","Corn",2010,210.1
"R_OEU","Soyabean",2010,422.7
"R_OEU","Wheat",2010,210.6
"R_NMC","Corn",2010,276.8
"R_NMC","Rice",2010,394.65
"R_NMC","Wheat",2010,311
"R_ASP","Corn",2010,263.3
"R_ASP","Soyabean",2010,629.4
"R_ASP","Wheat",2010,359.184607384295
"R_NEU","Corn",2010,225.2
"R_NEU","Wheat",2010,202.5
"R_OEU","Wheat",2010,210.6
"R_SSA","Corn",2010,274.8
"R_SSA","Rice",2010,368.95
"R_ASP","Corn",2010,263.3
"R_ASP","Rice",2010,289.5
"R_ASP","Wheat",2010,359.184607384295
"R_CSA","Cocoa",2010,2146
"R_CSA","Coffee",2010,1938.75
"R_CSA","Corn",2010,378.25
"R_CSA","Rice",2010,340.216156369601
"R_CSA","Soyabean",2010,422.176875455208
"R_CSA","Wheat",2010,281.55
"R_NEU","Corn",2010,225.2
"R_NEU","Soyabean",2010,464.6
"R_NEU","Wheat",2010,202.5
"BRA","Cocoa",2010,480.2
"BRA","Coffee",2010,1963.20973184804
"BRA","Corn",2010,170
"BRA","Rice",2010,355.3
"BRA","Soyabean",2010,360
"BRA","Wheat",2010,233.1
