"FABLE_Exporter","FABLE_Importer","dist_adj","Year","FABLE_Item","Q_ij","net_trade_ij","ln_dist","ln_quantity_kt","cost_per_tonne_km","transport_cost_usd_t"
"R_SSA","NOR",7117.33652631579,2020,"Coffee",1.3287284,1.3287284,8.87028885103677,0.284222394662306,0.015012722156994,106.850595767404
"R_SSA","NOR",7117.33652631579,2020,"Corn",0.0016283,0.0016283,8.87028885103677,-6.4202187531941,0.0160537488724575,114.259933234242
"R_SSA","NOR",7117.33652631579,2000,"Coffee",1.892469,1.892469,8.87028885103677,0.637882325746165,0.01495972194965,106.473375455772
"R_SSA","NOR",7117.33652631579,2010,"Palm_oil",0.0013912,0.0013912,8.87028885103677,-6.5775885949242,0.0160790325208506,114.439885468469
"R_SSA","NOR",7117.33652631579,2010,"Rice",0.0301493,-1.0148602,8.87028885103677,-3.50159357332556,0.0155919716678917,110.973309469167
"R_SSA","NOR",7117.33652631579,2015,"Cocoa",0.0080585,0.0080585,8.87028885103677,-4.8210278440015,0.0157990606829226,112.447231680045
"R_SSA","NOR",7117.33652631579,2005,"Palm_oil",0.015376,0.015376,8.87028885103677,-4.1749474267542,0.0156973150788746,111.723073975962
"R_SSA","NOR",7117.33652631579,2005,"Rice",0,-1.1085389,8.87028885103677,0,0,0
"R_SSA","NOR",7117.33652631579,2005,"Soyabean",0.093881,0.048531,8.87028885103677,-2.36572725616001,0.0154158697481033,109.719932843102
"R_SSA","NOR",7117.33652631579,2005,"Wheat",0.9963844,0.872862,8.87028885103677,-0.00362215207958034,0.0150559977123237,107.158602458048
"R_SSA","NOR",7117.33652631579,2010,"Cocoa",0.0123821,0.0123821,8.87028885103677,-4.39150339767801,0.0157313453859844,111.965279123756
"R_SSA","NOR",7117.33652631579,2005,"Coffee",1.5427463,1.5427463,8.87028885103677,0.433564139901466,0.0149903186287907,106.691142317804
"R_SSA","NOR",7117.33652631579,2010,"Corn",0.0050442,0.0050442,8.87028885103677,-5.28951621059497,0.0158732510952836,112.975269811844
"R_SSA","NOR",7117.33652631579,2000,"Corn",0.0026278,0.0026278,8.87028885103677,-5.94160828475655,0.0159770975267792,113.714379811855
"R_SSA","NOR",7117.33652631579,2005,"Cocoa",0.2294168,0.2294168,8.87028885103677,-1.47221484244354,0.0152787405835996,108.743938431757
"R_SSA","NOR",7117.33652631579,2020,"Cocoa",0.0321056,0.0321056,8.87028885103677,-3.43872480923298,0.0155821722687098,110.903563847433
"R_SSA","NOR",7117.33652631579,2015,"Corn",0.0004812,-0.2507225,8.87028885103677,-7.63922757386375,0.0162506431282612,115.661295912896
"R_SSA","NOR",7117.33652631579,2015,"Palm_oil",0.0053534,0.0053534,8.87028885103677,-5.23002340590905,0.0158638104615396,112.908077644466
"R_SSA","NOR",7117.33652631579,2015,"Wheat",0,-0.0305907,8.87028885103677,0,0,0
"R_SSA","NOR",7117.33652631579,2005,"Corn",0.0009424,0.0006699,8.87028885103677,-6.96708074506695,0.0161417812116237,114.886489017287
"R_SSA","NPL",8333.29689473684,2000,"Coffee",0.019871,0.019871,9.02801444254109,-3.91849389655846,0.0163125345344395,135.937193381132
"R_SSA","NPL",8333.29689473684,2020,"Corn",0.2203448,0.2203448,9.02801444254109,-1.51256168679266,0.0159247496383314,132.705666710569
"R_SSA","R_ASP",12167.4934002193,2015,"Coffee",28.0446835,0.934212799999997,9.40652319929688,3.3337990774625,0.0167403696917387,203.688337741462
"R_SSA","R_ASP",12167.4934002193,2005,"Palm_oil",0.920317,-814.3748257,9.40652319929688,-0.0830371030706217,0.0173222449529517,210.768301142022
"R_SSA","R_ASP",12167.4934002193,2005,"Rice",0.4808761,-5308.63472895,9.40652319929688,-0.732145630415543,0.0174350508423107,212.140866056303
"R_SSA","R_ASP",12167.4934002193,2015,"Palm_oil",26.824973,-1695.6453241,9.40652319929688,3.28933328199249,0.0167478150854908,203.778929520803
"R_SSA","R_ASP",12167.4934002193,2010,"Soyabean",66.742151,66.3698843,9.40652319929688,4.20083670235137,0.0165958518055382,201.929917314903
"R_SSA","R_ASP",12167.4934002193,2010,"Wheat",15.4799415,-119.7661322,9.40652319929688,2.73954508908467,0.0168401461755447,204.902367449669
"R_SSA","R_ASP",12167.4934002193,2015,"Corn",101.09769815,99.50198105,9.40652319929688,4.6160873577158,0.0165270803080201,201.093140572729
"R_SSA","R_ASP",12167.4934002193,2005,"Corn",99.26782555,98.82032795,9.40652319929688,4.59782150595959,0.0165300993957314,201.129875302531
"R_SSA","R_ASP",12167.4934002193,2000,"Wheat",63.4478864,35.49747695,9.40652319929688,4.15021888233685,0.0166042543903582,202.032155710246
"R_SSA","R_ASP",12167.4934002193,2005,"Cocoa",109.7636816,104.55142805,9.40652319929688,4.6983297056891,0.0165134936368878,200.927824841396
"R_SSA","R_ASP",12167.4934002193,2015,"Cocoa",216.74143555,208.62017045,9.40652319929688,5.37870510184654,0.0164015212374079,199.565401409717
"R_SSA","R_ASP",12167.4934002193,2000,"Soyabean",0,-0.14398255,9.40652319929688,0,0,0
"R_SSA","R_ASP",12167.4934002193,2005,"Wheat",0.1637227,-58.90783195,9.40652319929688,-1.80958113592294,0.017623917903802,214.438904780517
"R_SSA","R_ASP",12167.4934002193,2010,"Cocoa",102.33779955,95.36922545,9.40652319929688,4.6282791017778,0.0165250654915112,201.068625306154
"R_SSA","R_ASP",12167.4934002193,2015,"Rice",12.6161951,-7267.77856585,9.40652319929688,2.5349813140307,0.0168746302732468,205.321952480871
"R_SSA","R_ASP",12167.4934002193,2005,"Soyabean",0,-0.2066158,9.40652319929688,0,0,0
"R_SSA","R_ASP",12167.4934002193,2010,"Rice",14.5516312,-6965.80696635,9.40652319929688,2.67770309729928,0.0168505636782228,205.029122344751
"R_SSA","R_ASP",12167.4934002193,2020,"Rice",0.0019239,-6177.6380022,9.40652319929688,-6.25340090314135,0.0184247551496161,224.183086683611
"R_SSA","R_ASP",12167.4934002193,2020,"Soyabean",4.655738,4.16860325,9.40652319929688,1.53810043736817,0.0170436915049262,207.379003901564
"R_SSA","R_ASP",12167.4934002193,2020,"Wheat",0.0696352,-168.0651924,9.40652319929688,-2.6644850923623,0.0177752313459687,216.280010089445
"R_SSA","R_ASP",12167.4934002193,2015,"Soyabean",0,-5.5750534,9.40652319929688,0,0,0
"R_SSA","R_ASP",12167.4934002193,2015,"Wheat",0.3815796,-156.9468038,9.40652319929688,-0.963435799956492,0.0174754230714644,212.632094888083
"R_SSA","R_ASP",12167.4934002193,2020,"Cocoa",202.8861622,194.3484757,9.40652319929688,5.31264504440747,0.0164123596713019,199.697277982591
"R_SSA","R_ASP",12167.4934002193,2005,"Coffee",26.0061734,17.7155662,9.40652319929688,3.25833394829897,0.0167530076013567,203.842109423331
"R_SSA","R_ASP",12167.4934002193,2020,"Corn",507.5268553,506.2067996,9.40652319929688,6.22954962636319,0.0162625617947406,197.874613308164
"R_SSA","R_ASP",12167.4934002193,2020,"Palm_oil",6.556252,-1985.19114365,9.40652319929688,1.88041909821485,0.0169854475153066,206.670320542265
"R_SSA","R_ASP",12167.4934002193,2000,"Corn",133.12011985,132.80238105,9.40652319929688,4.891251877388,0.0164816661573441,200.540564194102
"R_SSA","R_ASP",12167.4934002193,2020,"Coffee",18.92112165,-3.53263015,9.40652319929688,2.94027884569315,0.0168063762226951,204.491471771245
"R_SSA","R_ASP",12167.4934002193,2000,"Rice",2.4178716,-4299.75142405,9.40652319929688,0.882887649045681,0.0171557305976775,208.742238823181
"R_SSA","R_ASP",12167.4934002193,2010,"Coffee",17.37475145,3.90467055,9.40652319929688,2.85501808631257,0.0168207115770345,204.665897100559
"R_SSA","R_ASP",12167.4934002193,2010,"Corn",440.7605909,440.3678445,9.40652319929688,6.08850185025757,0.0162855159608547,198.153907972866
"R_SSA","R_ASP",12167.4934002193,2000,"Palm_oil",0,-427.49790405,9.40652319929688,0,0,0
"R_SSA","R_ASP",12167.4934002193,2000,"Coffee",27.4825099,24.9035197,9.40652319929688,3.31354979870005,0.016743759839092,203.729587337009
"R_SSA","R_ASP",12167.4934002193,2010,"Palm_oil",4.780241,-1722.09564635,9.40652319929688,1.56449096364244,0.0170391941785017,207.324282711974
"R_SSA","R_ASP",12167.4934002193,2000,"Cocoa",38.8070859,34.9355942,9.40652319929688,3.65860285624374,0.0166860845462245,203.027823591688
"R_SSA","R_CSA",9797.26690617849,2020,"Soyabean",0,-0.20108,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2020,"Wheat",0.475365,-34.5015033,9.18985873863777,-0.743672348979165,0.0164819378185185,161.477943939063
"R_SSA","R_CSA",9797.26690617849,2020,"Rice",0,-179.0166689,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2000,"Cocoa",8.3858646,8.3046935,9.18985873863777,2.12654750266068,0.016015594520926,156.909054182641
"R_SSA","R_CSA",9797.26690617849,2000,"Coffee",0.866382,-0.40629025,9.18985873863777,-0.143429359134441,0.0163833024642177,160.511587046593
"R_SSA","R_CSA",9797.26690617849,2000,"Palm_oil",0,-2.663494,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2015,"Cocoa",4.0917864,3.4960332,9.18985873863777,1.40898164731345,0.0161309302688252,158.039029288634
"R_SSA","R_CSA",9797.26690617849,2015,"Coffee",0,-1.8144948,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2000,"Corn",0.29778,-0.853607,9.18985873863777,-1.21140032015473,0.0165592090205288,162.234990529319
"R_SSA","R_CSA",9797.26690617849,2015,"Rice",0,-144.505206,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2020,"Coffee",0.4572,-1.3485318,9.18985873863777,-0.782634347061481,0.0164883607619876,161.540871230553
"R_SSA","R_CSA",9797.26690617849,2020,"Corn",0.0353275,-23.4212516,9.18985873863777,-3.34309358150737,0.0169159897888088,165.73046694315
"R_SSA","R_CSA",9797.26690617849,2015,"Corn",0,-294.748007,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2020,"Cocoa",9.6372507,9.3070806,9.18985873863777,2.26563587085059,0.0159933341762147,156.690963644081
"R_SSA","R_CSA",9797.26690617849,2010,"Rice",0,-174.9396829,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2010,"Wheat",0.5794812,-109.3279672,9.18985873863777,-0.545622058488714,0.0164493275957701,161.158452882927
"R_SSA","R_CSA",9797.26690617849,2020,"Palm_oil",0,-9.39951,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2010,"Corn",0,-33.9497748,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2000,"Wheat",0,-0.1832784,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2005,"Cocoa",1.5256628,1.3952849,9.18985873863777,0.422428938588997,0.0162908579868251,159.605883827575
"R_SSA","R_CSA",9797.26690617849,2000,"Rice",0,-33.75401505,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2000,"Soyabean",0,-0.675388,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2005,"Rice",0.0518657,-140.9972961,9.18985873863777,-2.95909759361177,0.0168511576228292,165.095288908942
"R_SSA","R_CSA",9797.26690617849,2005,"Wheat",0.046102,-6.1683844,9.18985873863777,-3.07689894597265,0.0168710202112993,165.289887989631
"R_SSA","R_CSA",9797.26690617849,2010,"Cocoa",1.7875456,0.00124959999999996,9.18985873863777,0.580843505750149,0.0162650713249654,159.353245018717
"R_SSA","R_CSA",9797.26690617849,2010,"Coffee",2.245054,1.3408111,9.18985873863777,0.808729574357054,0.0162280476952366,158.990514636428
"R_SSA","R_CSA",9797.26690617849,2015,"Soyabean",0,-89.354173,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2015,"Wheat",0,-26.3161155,9.18985873863777,0,0,0
"R_SSA","R_CSA",9797.26690617849,2005,"Palm_oil",0.1393857,-0.0602843,9.18985873863777,-1.97051036841407,0.0166853899602834,163.471218874568
"R_SSA","R_CSA",9797.26690617849,2005,"Coffee",2.664634,1.582655,9.18985873863777,0.980066712351482,0.01620026682903,158.718338075316
"R_SSA","R_CSA",9797.26690617849,2005,"Corn",0.2114737,0.2114737,9.18985873863777,-1.55365463810969,0.0166159807248077,162.791198068858
